"X","name","result.category","result.published_year"
963,"Hipposideros lylei","LC",2019
964,"Hipposideros pratti","LC",2019
965,"Hirundapus caudacutus","LC",2019
966,"Hirundapus cochinchinensis","LC",2016
967,"Hirundo javanica","LC",2017
968,"Hirundo rustica","LC",2019
969,"Histrionicus histrionicus","LC",2018
970,"Hodgsonius phaenicuroides","LC",2017
971,"Hoolock tianxing","EN",2020
972,"Hoplobatrachus crassus","LC",2004
973,"Hoplobatrachus rugulosus","LC",2004
974,"Hoplobatrachus tigerinus","LC",2008
975,"Horornis acanthizoides","LC",2017
976,"Horornis brunnescens","LC",2016
977,"Horornis canturians","LC",2019
978,"Horornis flavolivaceus","LC",2017
979,"Horornis fortipes","LC",2017
980,"Humerana humeralis","LC",2004
981,"Hydrobates monorhis","NT",2018
982,"Hydrocoloeus minutus","LC",2018
983,"Hydrophasianus chirurgus","LC",2016
984,"Hydrophis caerulescens","LC",2010
985,"Hydrophis curtus","LC",2021
986,"Hydrophis cyanocinctus","LC",2010
987,"Hydrophis gracilis","LC",2010
988,"Hydrophis melanocephalus","DD",2010
989,"Hydrophis ornatus","LC",2010
990,"Hydrophis peronii","LC",2010
991,"Hydrophis platurus","LC",2017
992,"Hydrophis schistosus","LC",2018
993,"Hydrophis stokesii","LC",2018
994,"Hydrophis torquatus","DD",2010
995,"Hydrophis viperinus","LC",2018
996,"Hydropotes inermis","VU",2015
997,"Hydroprogne caspia","LC",2019
998,"Hydrornis cyaneus","LC",2016
999,"Hydrornis nipalensis","LC",2016
1000,"Hydrornis oatesi","LC",2018
1001,"Hydrornis phayrei","LC",2018
1002,"Hydrornis soror","LC",2016
1003,"Hyla annectans","LC",2004
1004,"Hyla chinensis","LC",2004
1005,"Hylarana latouchii","LC",2020
1006,"Hylarana macrodactyla","LC",2004
1007,"Hylarana margariana","DD",2021
1008,"Hylarana taipehensis","LC",2004
1009,"Hyla sanchiangensis","LC",2020
1010,"Hyla simplex","LC",2004
1011,"Hyla tsinlingensis","LC",2020
1012,"Hyla zhaopingensis","DD",2020
1013,"Hylobates lar","EN",2020
1014,"Hylomys suillus","LC",2016
1015,"Hylopetes alboniger","LC",2016
1016,"Hylopetes phayrei","LC",2016
1017,"Hynobius amjiensis","EN",2021
1018,"Hynobius arisanensis","EN",2021
1019,"Hynobius chinensis","DD",2020
1020,"Hynobius formosanus","EN",2020
1021,"Hynobius guabangshanensis","CR",2021
1022,"Hynobius leechii","LC",2019
1023,"Hynobius maoershanensis","CR",2020
1024,"Hynobius sonani","EN",2020
1025,"Hynobius yiwuensis","LC",2020
1026,"Hypothymis azurea","LC",2016
1027,"Hypsipetes amaurotis","LC",2018
1028,"Hypsipetes leucocephalus","LC",2016
1029,"Hypsiscopus plumbea","LC",2010
1030,"Hypsugo affinis","LC",2019
1031,"Hypsugo alaschanicus","LC",2019
1032,"Hypsugo pulveratus","LC",2020
1033,"Hypsugo savii","LC",2016
1034,"Hystrix brachyura","LC",2016
1035,"Hystrix indica","LC",2021
1036,"Ia io","NT",2020
1037,"Ibidorhyncha struthersii","LC",2016
1038,"Ichthyophis bannanicus","LC",2004
1039,"Icthyophaga humilis","NT",2016
1040,"Ictinaetus malaiensis","LC",2016
1041,"Iduna caligata","LC",2017
1042,"Iduna rama","LC",2017
1043,"Indicator xanthonotus","NT",2016
1044,"Indopacetus pacificus","LC",2020
1045,"Indotestudo elongata","CR",2019
1046,"Indotyphlops lazelli","CR",2012
