"X","name","result.category","result.published_year"
1919,"Plestiodon tunganus","NT",2019
1920,"Ploceus benghalensis","LC",2018
1921,"Ploceus manyar","LC",2016
1922,"Ploceus philippinus","LC",2016
1923,"Pnoepyga formosana","LC",2016
1924,"Pnoepyga pusilla","LC",2016
1925,"Podiceps auritus","VU",2018
1926,"Podiceps cristatus","LC",2019
1927,"Podiceps grisegena","LC",2018
1928,"Podiceps nigricollis","LC",2018
1929,"Podoces biddulphi","NT",2017
1930,"Podoces hendersoni","LC",2016
1931,"Poecile cinctus","LC",2016
1932,"Poecile davidi","LC",2016
1933,"Poecile hypermelaenus","LC",2017
1934,"Poecile montanus","LC",2019
1935,"Poecile palustris","LC",2017
1936,"Poecile superciliosus","LC",2016
1937,"Poecile weigoldicus","LC",2019
1938,"Polypedates leucomystax","LC",2004
1939,"Polypedates maculatus","LC",2004
1940,"Polypedates megacephalus","LC",2004
1941,"Polypedates mutus","LC",2004
1942,"Polyplectron bicalcaratum","LC",2016
1943,"Polyplectron katsumatae","EN",2016
1944,"Pomatorhinus ferruginosus","LC",2016
1945,"Pomatorhinus musicus","LC",2016
1946,"Pomatorhinus ochraceiceps","LC",2016
1947,"Pomatorhinus phayrei","LC",2017
1948,"Pomatorhinus ruficollis","LC",2016
1949,"Pomatorhinus superciliaris","LC",2016
1950,"Porphyrio porphyrio","LC",2019
1951,"Porzana porzana","LC",2016
1952,"Prinia atrogularis","LC",2017
1953,"Prinia crinigera","LC",2016
1954,"Prinia flaviventris","LC",2016
1955,"Prinia hodgsonii","LC",2016
1956,"Prinia inornata","LC",2016
1957,"Prinia polychroa","LC",2016
1958,"Prinia rufescens","LC",2016
1959,"Prinia sonitans","LC",2016
1960,"Prinia superciliaris","LC",2016
1961,"Prionailurus bengalensis","LC",2022
1962,"Prionodon pardicolor","LC",2016
1963,"Procapra gutturosa","LC",2016
1964,"Procapra picticaudata","NT",2016
1965,"Procapra przewalskii","EN",2016
1966,"Procarduelis nipalensis","LC",2016
1967,"Proedromys bedfordi","VU",2016
1968,"Proedromys liangshanensis","DD",2016
1969,"Protobothrops jerdonii","LC",2012
1970,"Protobothrops kaulbacki","DD",2012
1971,"Protobothrops mucrosquamatus","LC",2021
1972,"Protobothrops xiangchengensis","LC",2012
1973,"Prunella atrogularis","LC",2016
1974,"Prunella collaris","LC",2016
1975,"Prunella fulvescens","LC",2018
1976,"Prunella himalayana","LC",2018
1977,"Prunella immaculata","LC",2016
1978,"Prunella koslowi","LC",2016
1979,"Prunella montanella","LC",2016
1980,"Prunella rubeculoides","LC",2016
1981,"Prunella strophiata","LC",2016
1982,"Psarisomus dalhousiae","LC",2016
1983,"Pseudagkistrodon rudis","LC",2012
1984,"Pseudocalotes brevipes","LC",2019
1985,"Pseudocalotes kakhienensis","LC",2021
1986,"Pseudocalotes kingdonwardi","LC",2018
1987,"Pseudocalotes microlepis","LC",2021
1988,"Pseudohynobius flavomaculatus","VU",2020
1989,"Pseudohynobius guizhouensis","DD",2020
1990,"Pseudohynobius jinfo","EN",2020
1991,"Pseudohynobius kuankuoshuiensis","CR",2020
1992,"Pseudohynobius puxiongensis","CR",2020
1993,"Pseudohynobius shuichengensis","CR",2020
1994,"Pseudois nayaur","LC",2014
1995,"Pseudopodoces humilis","LC",2017
1996,"Pseudorana weiningensis","LC",2020
1997,"Pseudorca crassidens","NT",2018
1998,"Pseudoxenodon bambusicola","LC",2012
1999,"Pseudoxenodon karlschmidti","LC",2014
2000,"Pseudoxenodon macrops","LC",2012
2001,"Pseudoxenodon stejnegeri","LC",2014
2002,"Psilopogon asiaticus","LC",2016
2003,"Psilopogon cyanotis","LC",2016
2004,"Psilopogon faber","LC",2016
2005,"Psilopogon faiostrictus","LC",2018
2006,"Psilopogon franklinii","LC",2016
2007,"Psilopogon haemacephalus","LC",2016
2008,"Psilopogon lineatus","LC",2016
2009,"Psilopogon nuchalis","LC",2016
2010,"Psilopogon virens","LC",2018
2011,"Psittacula alexandri","NT",2017
2012,"Psittacula derbiana","NT",2016
2013,"Pterocles orientalis","LC",2018
2014,"Pteromys volans","LC",2016
2015,"Pteropus dasymallus","VU",2017
2016,"Pteropus giganteus","LC",2020
2017,"Pteropus vampyrus","NT",2008
2018,"Pteruthius aenobarbus","LC",2016
2019,"Pteruthius aeralatus","LC",2016
2020,"Pteruthius melanotis","LC",2016
2021,"Pteruthius rufiventer","LC",2016
2022,"Pteruthius xanthochlorus","LC",2016
2023,"Ptyas major","LC",2014
2024,"Ptyas multicinctus","LC",2012
2025,"Ptyonoprogne concolor","LC",2016
2026,"Ptyonoprogne rupestris","LC",2017
2027,"Pucrasia macrolopha","LC",2016
2028,"Pycnonotus aurigaster","LC",2016
2029,"Pycnonotus cafer","LC",2018
2030,"Pycnonotus finlaysoni","LC",2016
2031,"Pycnonotus flavescens","LC",2016
2032,"Pycnonotus jocosus","LC",2017
2033,"Pycnonotus sinensis","LC",2018
2034,"Pycnonotus taivanus","VU",2021
2035,"Pycnonotus xanthorrhous","LC",2016
2036,"Pygeretmus pumilio","LC",2016
2037,"Pyrgilauda blanfordi","LC",2016
2038,"Pyrgilauda davidiana","LC",2016
2039,"Pyrgilauda ruficollis","LC",2018
2040,"Pyrrhocorax graculus","LC",2016
2041,"Pyrrhocorax pyrrhocorax","LC",2016
2042,"Pyrrhoplectes epauletta","LC",2016
2043,"Pyrrhula erythaca","LC",2018
2044,"Pyrrhula erythrocephala","LC",2016
2045,"Pyrrhula nipalensis","LC",2016
2046,"Pyrrhula pyrrhula","LC",2018
2047,"Python bivittatus","VU",2012
2048,"Quasipaa acanthophora","VU",2017
2049,"Quasipaa boulengeri","EN",2004
2050,"Quasipaa delacouri","LC",2022
2051,"Quasipaa exilispinosa","LC",2020
2052,"Quasipaa jiulongensis","VU",2020
2053,"Quasipaa robertingeri","EN",2004
2054,"Quasipaa shini","EN",2020
2055,"Quasipaa spinosa","VU",2004
2056,"Quasipaa verrucospinosa","LC",2022
2057,"Quasipaa yei","VU",2020
2058,"Rafetus swinhoei","CR",2021
2059,"Rallina eurizonoides","LC",2020
2060,"Rallus aquaticus","LC",2019
2061,"Rallus indicus","LC",2016
2062,"Ramphiculus leclancheri","LC",2018
2063,"Rana amurensis","LC",2020
2064,"Rana arvalis","LC",2009
2065,"Rana asiatica","LC",2004
2066,"Rana chaochiaoensis","LC",2020
2067,"Rana chensinensis","LC",2004
2068,"Rana chevronta","CR",2020
2069,"Rana coreana","LC",2019
2070,"Rana dybowskii","LC",2004
2071,"Rana hanluica","DD",2008
2072,"Rana huanrensis","LC",2019
2073,"Rana johnsi","LC",2004
2074,"Rana kukunoris","LC",2020
2075,"Rana longicrus","VU",2004
2076,"Rana luanchuanensis","DD",2020
2077,"Rana omeimontis","LC",2021
2078,"Rana sauteri","VU",2020
2079,"Rana shuchinae","LC",2020
2080,"Rana zhengi","DD",2020
2081,"Rana zhenhaiensis","LC",2004
2082,"Ranodon sibiricus","EN",2004
2083,"Raorchestes andersoni","LC",2004
2084,"Raorchestes annandalii","LC",2004
2085,"Raorchestes longchuanensis","LC",2004
2086,"Raorchestes menglaensis","LC",2020
2087,"Raorchestes parvulus","LC",2016
2088,"Rattus andamanensis","LC",2016
2089,"Rattus exulans","LC",2016
2090,"Rattus losea","LC",2016
2091,"Rattus nitidus","LC",2016
2092,"Rattus norvegicus","LC",2016
2093,"Rattus pyctoris","LC",2016
2094,"Rattus tanezumi","LC",2016
2095,"Ratufa bicolor","NT",2016
2096,"Recurvirostra avosetta","LC",2021
2097,"Regulus goodfellowi","LC",2016
2098,"Regulus regulus","LC",2018
2099,"Remiz consobrinus","LC",2017
2100,"Remiz coronatus","LC",2016
2101,"Rhabdophis adleri","LC",2012
2102,"Rhabdophis callichroma","DD",2012
2103,"Rhabdophis leonardi","LC",2012
2104,"Rhabdophis nigrocinctus","LC",2012
2105,"Rhabdophis nuchalis","LC",2012
2106,"Rhabdophis pentasupralabialis","LC",2012
2107,"Rhabdophis subminiatus","LC",2021
2108,"Rhabdophis swinhonis","LC",2012
2109,"Rhabdophis tigrinus","LC",2021
2110,"Rhacophorus bipunctatus","LC",2008
2111,"Rhacophorus gongshanensis","NT",2004
2112,"Rhacophorus kio","LC",2017
2113,"Rhacophorus laoshan","DD",2020
2114,"Rhacophorus maximus","LC",2004
2115,"Rhacophorus rhodopus","LC",2009
2116,"Rhacophorus taronensis","DD",2004
2117,"Rhacophorus translineatus","DD",2004
2118,"Rhacophorus tuberculatus","DD",2004
2119,"Rhacophorus verrucopus","NT",2020
2120,"Rhinolophus affinis","LC",2020
2121,"Rhinolophus ferrumequinum","LC",2016
2122,"Rhinolophus formosae","LC",2019
2123,"Rhinolophus hipposideros","LC",2016
2124,"Rhinolophus huananus","LC",2020
2125,"Rhinolophus lepidus","LC",2019
2126,"Rhinolophus luctus","LC",2019
2127,"Rhinolophus macrotis","LC",2019
2128,"Rhinolophus marshalli","LC",2019
2129,"Rhinolophus osgoodi","LC",2020
2130,"Rhinolophus paradoxolophus","LC",2008
2131,"Rhinolophus pearsonii","LC",2019
2132,"Rhinolophus pusillus","LC",2019
2133,"Rhinolophus rex","EN",2020
2134,"Rhinolophus schnitzleri","DD",2019
2135,"Rhinolophus siamensis","LC",2019
2136,"Rhinolophus sinicus","LC",2019
2137,"Rhinolophus subbadius","LC",2019
2138,"Rhinolophus thomasi","LC",2019
2139,"Rhinolophus trifoliatus","NT",2020
2140,"Rhinolophus xinanzhongguoensis","NT",2017
2141,"Rhinolophus yunanensis","LC",2019
2142,"Rhinopithecus bieti","EN",2020
2143,"Rhinopithecus brelichi","CR",2022
2144,"Rhinopithecus roxellana","EN",2021
2145,"Rhinopithecus strykeri","CR",2020
2146,"Rhipidura albicollis","LC",2016
2147,"Rhipidura aureola","LC",2016
2148,"Rhizomys pruinosus","LC",2016
2149,"Rhizomys sinensis","LC",2016
2150,"Rhizomys sumatrensis","LC",2016
2151,"Rhodopechys sanguineus","LC",2016
2152,"Rhodospiza obsoleta","LC",2016
2153,"Rhombomys opimus","LC",2016
2154,"Rhopophilus albosuperciliaris","LC",2016
2155,"Rhopophilus pekinensis","LC",2016
2156,"Riparia chinensis","LC",2016
2157,"Riparia diluta","LC",2017
2158,"Riparia riparia","LC",2019
2159,"Rohanixalus vittatus","LC",2004
2160,"Rostratula benghalensis","LC",2016
2161,"Rousettus amplexicaudatus","LC",2019
2162,"Rousettus leschenaultii","NT",2021
2163,"Rubigula flaviventris","LC",2016
2164,"Rucervus eldii","EN",2015
2165,"Rusa unicolor","VU",2015
2166,"Rynchops albicollis","EN",2020
2167,"Sacalia quadriocellata","CR",2021
2168,"Salamandrella keyserlingii","LC",2008
2169,"Salpingotus crassicauda","LC",2016
2170,"Salpingotus kozlovi","LC",2016
2171,"Sarcogyps calvus","CR",2021
2172,"Sarkidiornis melanotos","LC",2016
2173,"Sasia ochracea","LC",2016
2174,"Saundersilarus saundersi","VU",2018
2175,"Saxicola caprata","LC",2016
2176,"Saxicola ferreus","LC",2017
2177,"Saxicola insignis","VU",2018
2178,"Saxicola jerdoni","LC",2016
2179,"Saxicola torquatus","LC",2020
2180,"Scapanulus oweni","LC",2016
2181,"Scaptochirus moschatus","LC",2016
2182,"Scaptonyx fusicaudus","LC",2016
2183,"Schoeniparus brunneus","LC",2017
2184,"Schoeniparus castaneceps","LC",2016
2185,"Schoeniparus cinereus","LC",2018
2186,"Schoeniparus dubius","LC",2016
2187,"Schoeniparus rufogularis","LC",2016
2188,"Schoeniparus variegaticeps","VU",2016
2189,"Scincella barbouri","LC",2019
2190,"Scincella doriae","LC",2018
2191,"Scincella formosensis","LC",2019
2192,"Scincella huanrenensis","CR",2019
2193,"Scincella modesta","LC",2021
2194,"Scincella monticola","LC",2019
2195,"Scincella ochracea","LC",2019
2196,"Scincella potanini","LC",2019
2197,"Scincella przewalskii","DD",2019
2198,"Scincella schmidti","DD",2019
2199,"Scincella tsinlingensis","LC",2019
2200,"Sciurotamias davidianus","LC",2016
2201,"Sciurotamias forresti","LC",2016
2202,"Sciurus vulgaris","LC",2016
2203,"Scolopax rusticola","LC",2019
2204,"Scotomanes ornatus","LC",2021
2205,"Scotophilus heathii","LC",2019
2206,"Scotophilus kuhlii","LC",2019
2207,"Scutiger adungensis","DD",2022
2208,"Scutiger boulengeri","LC",2004
2209,"Scutiger brevipes","DD",2020
2210,"Scutiger chintingensis","VU",2020
2211,"Scutiger glandulatus","LC",2020
2212,"Scutiger gongshanensis","LC",2020
2213,"Scutiger jiulongensis","EN",2020
2214,"Scutiger liupanensis","EN",2020
2215,"Scutiger maculatus","CR",2004
2216,"Scutiger mammatus","LC",2020
2217,"Scutiger muliensis","EN",2020
2218,"Scutiger nepalensis","VU",2004
2219,"Scutiger ningshanensis","LC",2021
2220,"Scutiger nyingchiensis","LC",2004
2221,"Scutiger pingwuensis","EN",2020
2222,"Scutiger sikimmensis","LC",2004
2223,"Scutiger tengchongensis","DD",2020
2224,"Scutiger tuberculatus","VU",2020
2225,"Scutiger wanglangensis","VU",2020
2226,"Scutiger wuguanfui","DD",2020
2227,"Selevinia betpakdalaensis","DD",2016
2228,"Semnopithecus schistaceus","LC",2020
2229,"Serilophus lunatus","LC",2016
2230,"Serinus pusillus","LC",2016
2231,"Sibia morrisoniana","LC",2016
2232,"Sibia nipalensis","LC",2016
2233,"Sibia souliei","LC",2016
2234,"Sibia waldeni","LC",2018
2235,"Sibynophis chinensis","LC",2014
2236,"Sibynophis collaris","LC",2021
2237,"Sicista caudata","DD",2016
2238,"Sicista concolor","LC",2016
2239,"Sicista pseudonapaea","DD",2016
2240,"Sicista subtilis","LC",2017
2241,"Sicista tianshanica","LC",2016
2242,"Sinomicrurus kelloggi","LC",2012
2243,"Sinomicrurus sauteri","LC",2012
2244,"Sitta cinnamoventris","LC",2016
2245,"Sitta europaea","LC",2018
2246,"Sitta formosa","VU",2020
2247,"Sitta frontalis","LC",2016
2248,"Sitta himalayensis","LC",2016
2249,"Sitta magna","EN",2020
2250,"Sitta nagaensis","LC",2016
2251,"Sitta przewalskii","LC",2016
2252,"Sitta solangiae","NT",2018
2253,"Sitta villosa","LC",2016
2254,"Sitta yunnanensis","NT",2017
2255,"Sittiparus castaneoventris","LC",2017
2256,"Sittiparus varius","LC",2017
2257,"Siva cyanouroptera","LC",2016
2258,"Sorex asper","LC",2016
2259,"Sorex bedfordiae","LC",2017
2260,"Sorex caecutiens","LC",2016
2261,"Sorex cansulus","DD",2016
2262,"Sorex cylindricauda","LC",2017
2263,"Sorex daphaenodon","LC",2016
2264,"Sorex excelsus","LC",2016
2265,"Sorex gracillimus","LC",2016
2266,"Sorex isodon","LC",2016
2267,"Sorex kozlovi","DD",2016
2268,"Sorex minutissimus","LC",2016
2269,"Sorex minutus","LC",2016
2270,"Sorex mirabilis","DD",2016
2271,"Sorex planiceps","LC",2017
2272,"Sorex roboratus","LC",2016
2273,"Sorex sinalis","DD",2016
2274,"Sorex thibetanus","DD",2016
2275,"Sorex tundrensis","LC",2016
2276,"Sorex unguiculatus","LC",2016
2277,"Soriculus nigrescens","LC",2016
2278,"Sousa chinensis","VU",2017
2279,"Spatula clypeata","LC",2019
2280,"Spatula querquedula","LC",2016
2281,"Spelaeornis reptatus","LC",2016
2282,"Spelaeornis troglodytoides","LC",2018
2283,"Spermophilus alashanicus","LC",2016
2284,"Spermophilus brevicauda","LC",2016
2285,"Spermophilus dauricus","LC",2016
2286,"Spermophilus erythrogenys","LC",2016
2287,"Spermophilus fulvus","LC",2017
2288,"Spermophilus major","LC",2017
2289,"Spermophilus pallidicauda","LC",2017
2290,"Spermophilus ralli","LC",2016
2291,"Sphaerias blanfordi","LC",2021
2292,"Sphenomorphus incognitus","LC",2019
2293,"Sphenomorphus taiwanensis","LC",2021
2294,"Sphenomorphus tonkinensis","LC",2019
2295,"Spilopelia chinensis","LC",2016
2296,"Spilopelia senegalensis","LC",2018
2297,"Spilornis cheela","LC",2016
2298,"Spinus spinus","LC",2017
2299,"Spinus thibetanus","LC",2016
2300,"Spizixos canifrons","LC",2016
2301,"Spizixos semitorques","LC",2016
2302,"Spodiopsar cineraceus","LC",2016
2303,"Spodiopsar sericeus","LC",2018
2304,"Stachyris nigriceps","LC",2016
2305,"Stachyris nonggangensis","VU",2019
2306,"Stachyris roberti","NT",2018
2307,"Stachyris strialata","LC",2016
2308,"Stenella attenuata","LC",2018
2309,"Stenella coeruleoalba","LC",2019
2310,"Stenella longirostris","LC",2018
2311,"Steno bredanensis","LC",2019
2312,"Sterna acuticauda","EN",2017
2313,"Sterna aurantia","VU",2020
2314,"Sterna dougallii","LC",2018
2315,"Sterna hirundo","LC",2019
2316,"Sterna sumatrana","LC",2018
2317,"Sternula albifrons","LC",2019
2318,"Stichophanes ningshaanensis","DD",2018
2319,"Strauchbufo raddei","LC",2004
2320,"Streptopelia decaocto","LC",2019
2321,"Streptopelia orientalis","LC",2016
2322,"Streptopelia tranquebarica","LC",2018
2323,"Streptopelia turtur","VU",2019
2324,"Strix aluco","LC",2016
2325,"Strix leptogrammica","LC",2016
2326,"Strix nebulosa","LC",2021
2327,"Strix nivicolum","LC",2016
2328,"Strix uralensis","LC",2021
2329,"Sturnia malabarica","LC",2016
2330,"Sturnia pagodarum","LC",2018
2331,"Sturnia sinensis","LC",2016
2332,"Sturnus vulgaris","LC",2019
2333,"Stylodipus andrewsi","LC",2017
2334,"Stylodipus sungorus","LC",2016
2335,"Stylodipus telum","LC",2017
2336,"Submyotodon latirostris","LC",2017
2337,"Suncus etruscus","LC",2017
2338,"Suncus murinus","LC",2016
2339,"Surnia ulula","LC",2021
2340,"Surniculus dicruroides","LC",2016
2341,"Sus scrofa","LC",2019
2342,"Suthora fulvifrons","LC",2016
2343,"Suthora nipalensis","LC",2020
2344,"Suthora verreauxi","LC",2018
2345,"Sylviparus modestus","LC",2016
2346,"Sylvirana cubitalis","LC",2008
2347,"Sylvirana guentheri","LC",2004
2348,"Sylvirana maosonensis","LC",2016
2349,"Sylvirana nigrovittata","LC",2004
2350,"Sylvirana spinulosa","VU",2020
2351,"Synoicus chinensis","LC",2016
2352,"Synthliboramphus antiquus","LC",2018
2353,"Syrmaticus ellioti","NT",2016
2354,"Syrmaticus humiae","NT",2016
2355,"Syrmaticus mikado","NT",2016
2356,"Syrmaticus reevesii","VU",2018
2357,"Syrrhaptes paradoxus","LC",2017
2358,"Syrrhaptes tibetanus","LC",2016
2359,"Tachybaptus ruficollis","LC",2019
2360,"Tadarida latouchei","EN",2020
2361,"Tadarida teniotis","LC",2016
2362,"Tadorna ferruginea","LC",2016
2363,"Tadorna tadorna","LC",2019
2364,"Takydromus albomaculosus","DD",2021
2365,"Takydromus amurensis","LC",2021
2366,"Takydromus formosanus","LC",2019
2367,"Takydromus hsuehshanensis","LC",2019
2368,"Takydromus intermedius","LC",2019
2369,"Takydromus kuehnei","LC",2019
2370,"Takydromus luyeanus","LC",2019
2371,"Takydromus sauteri","NT",2021
2372,"Takydromus septentrionalis","LC",2019
2373,"Takydromus sexlineatus","LC",2021
2374,"Takydromus stejnegeri","LC",2019
2375,"Takydromus sylvaticus","LC",2019
2376,"Takydromus viridipunctatus","LC",2019
2377,"Takydromus wolteri","LC",2021
2378,"Tamiops maritimus","LC",2017
2379,"Tamiops mcclellandii","LC",2017
2380,"Tamiops swinhoei","LC",2017
2381,"Taphozous melanopogon","LC",2019
2382,"Taphozous theobaldi","LC",2019
2383,"Tarsiger chrysaeus","LC",2016
2384,"Tarsiger cyanurus","LC",2016
2385,"Tarsiger hyperythrus","LC",2016
2386,"Tarsiger indicus","LC",2016
2387,"Tarsiger johnstoniae","LC",2016
2388,"Tarsiger rufilatus","LC",2016
2389,"Temnurus temnurus","LC",2016
2390,"Tenuidactylus dadunensis","DD",2019
2391,"Tenuidactylus elongatus","LC",2017
2392,"Tephrodornis virgatus","LC",2016
2393,"Teratoscincus przewalskii","LC",2019
2394,"Teratoscincus roborowskii","LC",2019
2395,"Teratoscincus scincus","LC",2021
2396,"Terpsiphone affinis","LC",2017
2397,"Terpsiphone atrocaudata","NT",2016
2398,"Terpsiphone incei","LC",2017
2399,"Tesia cyaniventer","LC",2016
2400,"Tesia olivea","LC",2016
2401,"Tetraogallus altaicus","LC",2016
2402,"Tetraogallus himalayensis","LC",2018
2403,"Tetraogallus tibetanus","LC",2016
2404,"Tetraophasis obscurus","LC",2016
2405,"Tetraophasis szechenyii","LC",2016
2406,"Tetrao urogalloides","LC",2016
2407,"Tetrao urogallus","LC",2016
2408,"Tetrax tetrax","NT",2018
2409,"Thainycteris aureocollaris","LC",2020
2410,"Thalasseus bergii","LC",2018
2411,"Thalasseus bernsteini","CR",2018
2412,"Theloderma albopunctatum","DD",2004
2413,"Theloderma asperum","LC",2004
2414,"Theloderma baibungense","DD",2020
2415,"Theloderma corticale","LC",2017
2416,"Theloderma gordoni","LC",2016
2417,"Theloderma kwangsiense","DD",2004
2418,"Theloderma lateriticum","LC",2017
2419,"Theloderma moloch","VU",2004
2420,"Theloderma rhododiscus","NT",2004
2421,"Thermophis baileyi","NT",2014
2422,"Thermophis zhaoermii","EN",2014
2423,"Threskiornis melanocephalus","NT",2016
2424,"Tichodroma muraria","LC",2019
2425,"Tickellia hodgsoni","LC",2018
2426,"Timalia pileata","LC",2016
2427,"Trachypithecus crepusculus","EN",2021
2428,"Trachypithecus francoisi","EN",2020
2429,"Trachypithecus leucocephalus","CR",2020
2430,"Trachypithecus pileatus","VU",2020
2431,"Trachypithecus shortridgei","EN",2020
2432,"Tragopan blythii","VU",2020
2433,"Tragopan caboti","VU",2020
2434,"Tragopan satyra","NT",2016
2435,"Tragopan temminckii","LC",2016
2436,"Tragulus kanchil","LC",2015
2437,"Tragulus williamsoni","DD",2015
2438,"Trapelus sanguinolentus","LC",2019
2439,"Treron apicauda","LC",2018
2440,"Treron curvirostra","LC",2018
2441,"Treron formosae","NT",2016
2442,"Treron phayrei","NT",2020
2443,"Treron phoenicopterus","LC",2016
2444,"Treron sieboldii","LC",2016
2445,"Treron sphenurus","LC",2016
2446,"Trimeresurus albolabris","LC",2012
2447,"Trimerodytes aequifasciatus","LC",2012
2448,"Trimerodytes percarinatus","LC",2012
2449,"Trimerodytes yunnanensis","LC",2012
2450,"Tringa glareola","LC",2016
2451,"Tringa nebularia","LC",2016
2452,"Tringa ochropus","LC",2016
2453,"Tringa stagnatilis","LC",2016
2454,"Tringa totanus","LC",2016
2455,"Trochalopteron affine","LC",2018
2456,"Trochalopteron chrysopterum","LC",2017
2457,"Trochalopteron elliotii","LC",2017
2458,"Trochalopteron erythrocephalum","LC",2017
2459,"Trochalopteron formosum","LC",2018
2460,"Trochalopteron henrici","LC",2017
2461,"Trochalopteron imbricatum","LC",2018
2462,"Trochalopteron lineatum","LC",2018
2463,"Trochalopteron melanostigma","LC",2016
2464,"Trochalopteron milnei","LC",2016
2465,"Trochalopteron morrisonianum","LC",2016
2466,"Trochalopteron squamatum","LC",2018
2467,"Trochalopteron subunicolor","LC",2016
2468,"Trochalopteron variegatum","LC",2016
2469,"Troglodytes troglodytes","LC",2018
2470,"Trogopterus xanthipes","NT",2016
2471,"Tropicoperdix chloropus","LC",2021
2472,"Tropidophorus berdmorei","LC",2019
2473,"Tropidophorus guangxiensis","DD",2021
2474,"Tropidophorus hainanus","LC",2019
2475,"Tropidophorus sinicus","LC",2019
2476,"Tscherskia triton","LC",2016
2477,"Tupaia belangeri","LC",2016
2478,"Turdus albocinctus","LC",2016
2479,"Turdus atrogularis","LC",2017
2480,"Turdus boulboul","LC",2016
2481,"Turdus cardis","LC",2018
2482,"Turdus dissimilis","LC",2016
2483,"Turdus feae","VU",2019
2484,"Turdus hortulorum","LC",2018
2485,"Turdus kessleri","LC",2016
2486,"Turdus mandarinus","LC",2018
2487,"Turdus maximus","LC",2018
2488,"Turdus merula","LC",2016
2489,"Turdus niveiceps","LC",2016
2490,"Turdus obscurus","LC",2016
2491,"Turdus pallidus","LC",2016
2492,"Turdus pilaris","LC",2016
2493,"Turdus rubrocanus","LC",2016
2494,"Turdus ruficollis","LC",2018
2495,"Turdus viscivorus","LC",2016
2496,"Turnix suscitator","LC",2016
2497,"Turnix sylvaticus","LC",2016
2498,"Turnix tanki","LC",2016
2499,"Tursiops aduncus","NT",2019
2500,"Tursiops truncatus","LC",2019
2501,"Tylonycteris pygmaeus","DD",2020
2502,"Tylonycteris robustula","LC",2020
2503,"Tylototriton anguliceps","LC",2016
2504,"Tylototriton anhuiensis","CR",2020
2505,"Tylototriton asperrimus","NT",2021
2506,"Tylototriton dabienicus","EN",2020
2507,"Tylototriton hainanensis","EN",2021
2508,"Tylototriton kweichowensis","VU",2020
2509,"Tylototriton liuyangensis","EN",2020
2510,"Tylototriton lizhengchangi","CR",2020
2511,"Tylototriton pseudoverrucosus","EN",2020
2512,"Tylototriton shanjing","VU",2020
2513,"Tylototriton taliangensis","VU",2020
2514,"Tylototriton verrucosus","NT",2021
2515,"Tylototriton wenxianensis","VU",2020
2516,"Tylototriton yangi","EN",2020
2517,"Tylototriton ziegleri","VU",2017
2518,"Typhlomys cinereus","LC",2017
2519,"Tyto alba","LC",2019
2520,"Tyto longimembris","LC",2016
2521,"Uperodon globulosus","LC",2004
2522,"Upupa epops","LC",2020
2523,"Urile pelagicus","LC",2019
2524,"Urocissa caerulea","LC",2018
2525,"Urocissa erythroryncha","LC",2018
2526,"Urocissa flavirostris","LC",2017
2527,"Urocissa whiteheadi","EN",2016
2528,"Urocissa xanthomelana","NT",2016
2529,"Urocitellus undulatus","LC",2016
2530,"Urocynchramus pylzowi","LC",2016
2531,"Uropsilus andersoni","DD",2016
2532,"Uropsilus gracilis","LC",2017
2533,"Uropsilus investigator","DD",2016
2534,"Uropsilus soricipes","LC",2016
2535,"Urosphena squameiceps","LC",2016
2536,"Ursus arctos","LC",2017
2537,"Ursus thibetanus","VU",2020
2538,"Vandeleuria oleracea","LC",2017
2539,"Vanellus cinereus","LC",2016
2540,"Vanellus duvaucelii","NT",2016
2541,"Vanellus gregarius","CR",2019
2542,"Vanellus indicus","LC",2016
2543,"Vanellus vanellus","NT",2017
2544,"Varanus bengalensis","NT",2021
2545,"Varanus salvator","LC",2021
2546,"Vernaya fulva","LC",2017
2547,"Vespertilio murinus","LC",2016
2548,"Vespertilio sinensis","LC",2019
2549,"Viverra megaspila","EN",2016
2550,"Viverra zibetha","LC",2016
2551,"Viverricula indica","LC",2015
2552,"Volemys millicens","NT",2016
2553,"Volemys musseri","DD",2016
2554,"Vormela peregusna","VU",2016
2555,"Vulpes corsac","LC",2014
2556,"Vulpes ferrilata","LC",2014
2557,"Xenopeltis hainanensis","LC",2012
2558,"Xenopeltis unicolor","LC",2012
2559,"Xenus cinereus","LC",2019
2560,"Yuhina bakeri","LC",2018
2561,"Yuhina brunneiceps","LC",2016
2562,"Yuhina flavicollis","LC",2016
2563,"Yuhina gularis","LC",2016
2564,"Yuhina nigrimenta","LC",2016
2565,"Yuhina occipitalis","LC",2016
2566,"Zapornia akool","LC",2016
2567,"Zapornia bicolor","LC",2016
2568,"Zapornia fusca","LC",2016
2569,"Zapornia parva","LC",2016
2570,"Zapornia paykullii","NT",2016
2571,"Zapornia pusilla","LC",2019
2572,"Zhangixalus arvalis","EN",2022
2573,"Zhangixalus aurantiventris","EN",2021
2574,"Zhangixalus chenfui","LC",2020
2575,"Zhangixalus dennysi","LC",2004
2576,"Zhangixalus duboisi","VU",2022
2577,"Zhangixalus dugritei","LC",2004
2578,"Zhangixalus feae","LC",2017
2579,"Zhangixalus hui","LC",2021
2580,"Zhangixalus hungfuensis","DD",2004
2581,"Zhangixalus leucofasciatus","DD",2020
2582,"Zhangixalus lishuiensis","DD",2020
