"FD.FRic","FD.FEve","FD.FDiv","FD.FDis","FD.RaoQ","grid_id"
1.31940532489103,0.776775438615149,0.775923958738871,1.53689741928635,2.73329786453524,4427
1.31940532489103,0.776775438615149,0.775923958738871,1.53689741928635,2.73329786453524,4428
1.30528461831118,0.78620059335229,0.923358109195811,1.82620368411169,3.44187625293075,4429
NA,NA,NA,1.85523170738883,3.44188468810086,4430
0.0443100236673737,0.582558168840723,0.667356834238934,1.48135143991541,2.53468126209158,4431
2.03949491992174,0.681944764790229,0.775727080776836,1.93621305435802,4.37453734510876,4432
2.14090110398243,0.729916839101008,0.750320087412513,2.07872864776282,4.73789410878151,4433
1.42210805014915,0.692277938931989,0.744789654188572,2.03303767191942,4.62092299860234,4434
1.4474913801578,0.628309462511604,0.753607620009823,1.95785713396464,4.40519740917202,4435
NA,NA,NA,1.85391158385084,3.43698816073634,4511
NA,NA,NA,1.85391158385084,3.43698816073634,4512
NA,NA,NA,1.85391158385084,3.43698816073634,4513
NA,NA,NA,0,0,4514
3.94356110384975,0.369647392500033,0.673075416328391,3.78454006220528,18.3903395966477,4524
