"mammal_ntaxa.x","mammal_mpd.obs","mammal_mpd.rand.mean","mammal_mpd.rand.sd","mammal_mpd.obs.rank","mammal_mpd.obs.z","mammal_mpd.obs.p","mammal_runs.x","mammal_NRI","grid_id","mammal_ntaxa.y","mammal_mntd.obs","mammal_mntd.rand.mean","mammal_mntd.rand.sd","mammal_mntd.obs.rank","mammal_mntd.obs.z","mammal_mntd.obs.p","mammal_runs.y","mammal_NTI"
49,160.764890454082,165.243655530766,1.91899931796379,23,-2.33390654950153,0.023,999,2.33390654950153,10320,49,57.6688509387755,60.596525329697,5.0655349481011,272,-0.577959568123999,0.272,999,0.577959568123999
48,159.711579943262,165.241402199372,1.95099725722406,12,-2.83435675556911,0.012,999,2.83435675556911,10321,48,60.3945527083333,61.0534209242993,5.19481017508216,454,-0.12683200997918,0.454,999,0.12683200997918
50,159.735685191837,165.282323170725,1.88361628822092,9,-2.94467509841248,0.009,999,2.94467509841248,10322,50,58.13294772,60.2506613107508,5.10419568803449,338,-0.414896630181167,0.338,999,0.414896630181167
51,159.424040227451,165.287440188887,1.89558710766861,5,-3.09318413156299,0.005,999,3.09318413156299,10323,51,57.8867090588235,59.7171193850713,4.94467325179377,352,-0.370178216646328,0.352,999,0.370178216646328
50,158.763541905306,165.303533412953,1.90946747804557,4,-3.4250342479471,0.004,999,3.4250342479471,10324,50,56.26726788,60.0465991312913,4.98103994875395,235,-0.758743413057091,0.235,999,0.758743413057091
57,160.905511002506,165.256098191374,1.73633235144848,15,-2.5056189186581,0.015,999,2.5056189186581,10407,57,46.6386026666667,57.1697188947895,4.61410563643001,8,-2.28237432298384,0.008,999,2.28237432298384
58,160.480641323654,165.245347852923,1.74743141481829,11,-2.72669158220701,0.011,999,2.72669158220701,10408,58,44.801872862069,56.8347350782507,4.58889619648854,5,-2.62216918861432,0.005,999,2.62216918861432
56,160.659164520779,165.254374998002,1.74469496633228,11,-2.63381884277616,0.011,999,2.63381884277616,10409,56,45.5357141071429,57.5523588830616,4.62534909540982,5,-2.59799736799198,0.005,999,2.59799736799198
49,162.049108095238,165.201240059533,1.97213783894249,65,-1.59833248064716,0.065,999,1.59833248064716,1041,49,53.904061877551,60.2915408789606,5.34795860451966,115,-1.19437704622683,0.115,999,1.19437704622683
56,160.659164520779,165.242528773307,1.74442899933569,8,-2.62742952236709,0.008,999,2.62742952236709,10410,56,45.5357141071429,57.564664300479,4.598053556528,2,-2.61609614708779,0.002,999,2.61609614708779
56,160.516083427273,165.248372359991,1.72403918515122,9,-2.74488478769892,0.009,999,2.74488478769892,10411,56,43.0710778214286,57.5790474070499,4.59259380912201,1,-3.15899254073046,0.001,999,3.15899254073046
58,161.002584413793,165.260202819008,1.66919782216694,12,-2.55069731620393,0.012,999,2.55069731620393,10412,58,43.8987921034483,56.9631095213489,4.43512520172363,2,-2.9456479408571,0.002,999,2.9456479408571
54,160.743569234102,165.260696417174,1.80048923712872,17,-2.50883320484356,0.017,999,2.50883320484356,10413,54,44.9076357777778,58.4072278977125,4.66276568878427,1,-2.89518989821993,0.001,999,2.89518989821993
