Family,Species,Species_origin,Sample_Male_Famle,Male_size_mm,Female_size_mm,Male_mass_g,Female_mass_g,Clutch_size,References
Lacertidae,Takydromus sexlineatus,Takydromus sexlineatus,NA,48.5,48.5,2.691535,2.691535,NA,"Yang & Rao 2008, Shi et al. 2011, Wang & Gong et al. 2017"
Lacertidae,Takydromus sylvaticus,Takydromus sylvaticus,NA,47.97,54.58,2.630268,3.801894,NA,"Tang & Xiang 2002, Le et al. 2009, Wang & Gong et al. 2017"
Lacertidae,Takydromus viridipunctatus,Takydromus viridipunctatus,NA,51.54,51.02,3.235937,3.162278,NA,Lue & Lin 2008
Lacertidae,Takydromus wolteri,Takydromus wolteri,"39,25",52.13,55.86,3.311311,4.073803,7.2,"Zhao 2003, Ma et al. 2013"
Lacertidae,Takydromus yunkaiensis,Takydromus yunkaiensis,NA,46.9,51.7,2.454709,3.235937,NA,Shi & Zhao 2011
Lacertidae,Zootoca vivipara,Zootoca vivipara,"1,1",121,127.66,39.81072,46.77351,6.4,Dong et al. 2004/2007
Scincidae,Ablepharus deserti,Ablepharus deserti,"1,1",47.3,54.2,1.905461,2.951209,NA,Shi et al. 2006
Scincidae,Ablepharus alaicus,Asymblepharus alaicus,NA,46,51.9,1.737801,2.570396,4,Zhao et al. 1999
Scincidae,Scincella ladacensis,Asymblepharus ladacensis,"3,5",46.4,45.9,1.819701,1.737801,NA,Zhao et al. 1999
Scincidae,Ateuchosaurus chinensis,Ateuchosaurus chinensis,"2,5",76.5,76.17,9.120108,8.912509,13,Shi et al. 2011
Scincidae,Eutropis longicaudata,Eutropis longicaudata,"2+,3+",101.25,108.84,22.38721,28.18383,6.9,"Yang & Rao 2008, Shi et al. 2011"
Scincidae,Eutropis multicarinata,Eutropis multicarinata,"4,6",79.4,73.9,10.23293,8.128305,NA,Zhao et al. 1999
Scincidae,Eutropis multifasciata,Eutropis multifasciata,"11,11",106.27,108.91,26.30268,28.18383,6,"Zhao et al. 1999, Yang & Rao 2008, Shi et al. 2011"
