iucn_2021_binomial,Species,China_Red_List,IUCN_Red_List,Body_size_mm,Clutch_size_n,Trophic_level,Habitat_specificity,Geographic_range_size_km2,Dispersal_ratio_dp,Nest_type,Nest_site,Flocking_tendency,Migrant_status,Hunting_vulnerability
Calidris_canutus,Calidris_canutus,1,0,123.5,2,1,5,113.28,33.51,1,5,1,2,0
Calidris_alba,Calidris_alba,0,0,199.15,2,1,3,709.38,30.29,1,5,1,2,0
Calidris_ruficollis,Calidris_ruficollis,0,0,156.15,2,5,6,961.58,31.5,1,5,1,2,0
Calidris_temminckii,Calidris_temminckii,0,0,127,2,5,1,961.58,31.91,1,5,1,2,0
Calidris_subminuta,Calidris_subminuta,0,0,153.15,2,5,6,961.58,18.81,1,5,1,2,0
Calidris_acuminata,Calidris_acuminata,0,0,192.75,2,5,3,589.75,30.35,1,5,1,2,0
Calidris_ferruginea,Calidris_ferruginea,0,0,110,2,5,1,905.97,31.51,1,5,1,2,0
Calidris_alpina,Calidris_alpina,0,0,195.5,2,5,2,631.37,19.2,1,5,1,2,0
Eurynorhynchus_pygmeus,Eurynorhynchus_pygmeus,2,2,150,3.5,5,6,161.29,30.16,1,5,2,2,2
Calidris_falcinellus,Limicola_falcinellus,0,0,170,2,5,1,555.08,30.25,1,5,1,2,0
Calidris_pugnax,Philomachus_pugnax,0,0,165,2,5,5,715.6,31.12,1,5,1,2,0
Phalaropus_lobatus,Phalaropus_lobatus,0,0,192.5,2,5,5,251.11,31.18,1,5,1,2,0
Phalaropus_fulicarius,Phalaropus_fulicarius,0,0,111.75,2,5,3,125.08,35.63,1,5,1,2,0
Stercorarius_pomarinus,Stercorarius_pomarinus,0,0,511.15,1,6,1,302.62,39.71,1,5,1,2,0
Stercorarius_parasiticus,Stercorarius_parasiticus,0,0,281.5,1,6,1,160.91,21.79,1,5,1,2,0
Stercorarius_longicaudus,Stercorarius_longicaudus,0,0,520,1,6,1,73.2,26.16,1,5,1,1,0
Larus_crassirostris,Larus_crassirostris,0,0,259.5,1,6,5,531.15,25.57,1,5,1,2,0
Larus_canus,Larus_canus,0,0,278.15,1.5,6,3,835.71,27,1,5,1,2,0
Larus_glaucescens,Larus_glaucescens,0,0,650.5,3,6,1,32.1,21.9,1,5,1,2,0
Larus_hyperboreus,Larus_hyperboreus,0,0,710,1.5,6,3,173.9,37.5,1,5,1,1,0
Larus_argentatus,Larus_argentatus,0,0,612.5,1.5,6,3,238.37,23.55,1,5,1,0,0
Larus_fuscus,Larus_fuscus,0,0,612.5,3,6,3,159.78,27.81,1,5,1,1,0
Larus_cachinnans,Larus_cachinnans,0,0,610,3,6,3,315.68,22.33,1,5,1,1,0
Larus_schistisagus,Larus_schistisagus,0,0,651,1.5,6,2,371.56,21.57,1,1,1,2,0
Larus_ichthyaetus,Larus_ichthyaetus,0,0,671.5,3,6,1,805.71,38.63,1,5,1,1,0
Larus_brunnicephalus,Larus_brunnicephalus,0,0,221,3,6,5,629.57,21.03,1,5,1,2,0
Larus_ridibundus,Larus_ridibundus,0,0,386.75,3,6,1,961.58,25.68,1,5,1,1,0
Larus_saundersi,Larus_saundersi,1,1,336.75,3,6,3,385.86,28.01,1,5,1,2,1
Larus_relictus,Larus_relictus,3,1,215,1.5,6,8,569.05,25.5,1,5,1,2,2
Larus_minutus,Larus_minutus,1,0,198,1.5,6,8,299.6,22.88,1,5,1,2,0
Xema_sabini,Xema_sabini,0,0,320,1,6,1,3.52,26.05,1,5,1,2,0
Rissa_tridactyla,Rissa_tridactyla,0,0,215,1.5,6,1,116.17,20.86,1,5,1,2,0
Gelochelidon_nilotica,Gelochelidon_nilotica,0,0,351.5,3,6,5,275.07,28.38,1,5,1,2,0
Hydroprogne_caspia,Hydroprogne_caspia,0,0,513,1.5,6,1,293.8,28.83,1,5,2,1,0
Thalasseus_bengalensis,Thalasseus_bengalensis,0,0,200,1.5,6,3,32.01,27.35,1,5,1,2,0
Thalasseus_bernsteini,Thalasseus_bernsteini,2,2,200,1,6,3,82.59,60.22,1,5,1,2,2
Thalasseus_bergii,Thalasseus_bergii,1,0,280,1.5,6,3,71.86,50.63,1,5,1,0,0
Sterna_aurantia,Sterna_aurantia,1,1,200,3,6,3,39,29.82,1,5,1,1,0
Sterna_dougallii,Sterna_dougallii,0,0,325,1,6,1,71.86,26.18,1,5,0,0,0
Sterna_sumatrana,Sterna_sumatrana,0,0,315,1,6,1,93.76,26.16,1,5,1,0,0
Sterna_hirundo,Sterna_hirundo,0,0,321.5,3,6,6,881.76,55.99,1,5,1,0,0
Sternula_albifrons,Sterna_albifrons,0,0,157.15,1.5,6,7,818.69,22.39,1,5,1,0,0
Sterna_acuticauda,Sterna_acuticauda,3,3,305,3,6,2,39,57.33,1,5,1,0,2
Sterna_aleutica,Sterna_aleutica,0,0,365,1,6,3,16.13,55.68,1,5,0,0,0
