Species,Adult_survival,Age_at_first_reproduction,Maximum_longevity
Tetraogallus_altaicus,0.79,1.17,24.78
Alectoris_graeca,0.44,1.07,8.66
Alectoris_chukar,0.53,1.16,8.97
Alectoris_magna,0.7,1.04,9.09
Alectoris_philbyi,0.65,1.43,9.43
Alectoris_barbara,0.36,0.85,6.98
Alectoris_rufa,0.42,0.97,8.01
Alectoris_melanocephala,0.67,1.53,10.03
Lerwa_lerwa,0.78,2.01,18.91
Ammoperdix_griseogularis,0.56,1.06,12.62
Ammoperdix_heyi,0.66,1.24,12.17
Perdicula_asiatica,0.57,1.14,10.85
Perdicula_argoondah,0.56,1.11,10.63
Perdicula_erythrorhyncha,0.57,1.13,10.73
Perdicula_manipurensis,0.64,1.28,12.07
Ophrysia_superciliosa,0.47,1.36,13.22
Pternistis_hartlaubi,0.63,1.4,13.39
Pternistis_bicalcaratus,0.67,1.58,14.61
Pternistis_icterorhynchus,0.69,1.62,13.31
Pternistis_clappertoni,0.81,1.97,15.72
Pternistis_harwoodi,0.72,1.75,16.23
Pternistis_adspersus,0.67,1.53,13.32
Pternistis_capensis,0.7,1.65,15.01
Pternistis_natalensis,0.72,1.75,16.47
Pternistis_hildebrandti,0.68,1.64,14.87
Pternistis_ahantensis,0.72,1.78,15.82
Pternistis_squamatus,0.67,1.58,14.17
Pternistis_griseostriatus,0.72,1.65,14.68
Pternistis_leucoscepus,0.73,1.84,16.14
Pternistis_rufopictus,0.75,1.94,16.81
Pternistis_afer,0.67,1.59,14.75
Pternistis_swainsonii,0.69,1.68,16.07
Pternistis_jacksoni,0.82,2.38,19.59
Pternistis_nobilis,0.79,2.04,17.71
Pternistis_camerunensis,0.83,2.03,15.88
Pternistis_swierstrai,0.75,1.8,16.12
Pternistis_castaneicollis,0.76,1.94,15.52
Pternistis_atrifrons,0.47,1.36,13.22
Pternistis_erckelii,0.69,1.78,16.85
Pternistis_ochropectus,0.83,2.13,16.95
Francolinus_francolinus,0.52,1.06,9.51
Francolinus_pictus,0.73,1.45,9.96
Francolinus_pintadeanus,0.67,1.34,10.6
Francolinus_pondicerianus,0.57,1.1,9.23
Francolinus_gularis,0.77,1.72,13.28
Dendroperdix_sephaena,0.69,1.61,11.83
Peliperdix_coqui,0.7,1.6,14.36
Peliperdix_albogularis,0.69,1.52,12.32
Peliperdix_schlegelii,0.73,1.69,14.62
Peliperdix_lathami,0.81,2.1,13.55
Scleroptila_streptophora,0.76,1.82,13.81
Scleroptila_levaillantii,0.61,1.4,13.69
Scleroptila_afra,0.68,1.6,15.82
Scleroptila_finschi,0.76,1.93,13.65
Scleroptila_psilolaema,0.75,1.82,16.04
Scleroptila_elgonensis,0.47,1.36,13.22
Scleroptila_shelleyi,0.75,1.88,16.9
Scleroptila_whytei,0.47,1.36,13.22
Scleroptila_gutturalis,0.64,1.47,13.9
Bambusicola_fytchii,0.73,1.68,8.59
Bambusicola_thoracicus,0.68,1.54,9.09
Bambusicola_sonorivox,0.47,1.36,4.5
Gallus_gallus,0.73,1.19,20
Gallus_sonneratii,0.8,1.42,22.86
Gallus_lafayettii,0.86,1.69,24.64
Gallus_varius,0.82,1.53,23.18
Tetraophasis_obscurus,0.75,2.03,19.11
Tetraophasis_szechenyii,0.77,2.11,19.68
Lophophorus_impejanus,0.8,2.5,23.6
Lophophorus_sclateri,0.78,2.4,22.99
