"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7"
"Plestiodon_tamdaoensis",1.38653860736144,1.71540833127461,-0.334779036021395,0.39219421230677,0.0336451586512585,-2.47555093662333,0.596936896167916
"Plestiodon_tunganus",0.697972382831679,1.12286501915688,-0.509550004007868,0.0800517246391328,-0.39147618832638,-1.71647123126921,0.0485604058145875
"Scincella_barbouri",-0.0415987472188039,0.486429609845238,-0.697266969622969,-0.255212428781663,-0.848088005450511,-0.901163399592563,-0.540436565305655
"Scincella_doriae",-0.194613463780972,0.35475331826352,-0.736104962508851,-0.324577426041138,-0.942559415889986,-0.73247902062498,-0.662298007606395
"Scincella_formosensis",0.315435591426257,0.79367429020258,-0.606644986222575,-0.0933607685095546,-0.627654714425068,-1.29476028385025,-0.256093199937262
"Scincella_himalayanus",0.899389027565495,-1.38290172610863,-1.46308879909225,-0.5090780951551,-1.89973605490762,0.0181099777721212,1.1105462276743
"Scincella_huanrenensis",1.13018622504677,-1.18428998630621,-1.40450815982271,-0.404452557622059,-1.75724167749474,-0.236322293837316,1.29435390314458
"Scincella_ladacensis",0.551953135242985,-2.47542559511477,-0.401877340642738,-0.754849676366446,1.23673877109253,1.36880888907357,1.79740587961424
"Scincella_modesta",0.455699081608244,0.914377557485822,-0.571043492743849,-0.0297761876883692,-0.541055921522216,-1.44938763123721,-0.14438687782825
"Scincella_monticola",0.761129063916468,0.078914101071143,0.262710941259401,-0.85773310217434,0.338405997975623,-0.378358056178716,-0.723911022066898
"Scincella_potanini",2.22461739488012,-1.88993125843425,0.00762481159929463,-1.35794514908037,-0.0452051831704996,0.668776192876888,0.931808184353855
"Scincella_przewalskii",1.17354039473938,-1.14698170369139,-1.39350406183838,-0.384799141731875,-1.73047477787023,-0.284116201211464,1.32888131179646
"Scincella_reevesii",1.51114816840611,-1.40560457957082,-0.929697603432977,-0.714961560619661,-1.17659086384027,0.0475716283986188,1.1863684824572
"Scincella_schmidti",0.803754829714139,-1.46519940834721,-1.48736254464593,-0.552431218442273,-1.95878068643229,0.12353771462686,1.03438282623634
"Scincella_sikimmensis",-0.0671011999791654,0.464483561248285,-0.703739968437282,-0.266773261658242,-0.863833240523756,-0.873049336431299,-0.560746805689111
"Scincella_tsinlingensis",2.84395105054306,0.290484479409034,-0.969522639500824,0.372435411684061,-0.69916188057262,-2.12558733827424,2.65920205691287
"Sphenomorphus_courcyanum",0.311310498104145,0.24097436312398,-0.22957671192898,-0.578438347943502,-0.284756950376611,-0.586344007879238,-0.670763250414844
"Sphenomorphus_incognitus",0.967937760513533,-1.74727461407546,-0.195807716638422,3.97524462850289,0.289471328272339,-0.00236036978235276,-2.41489075267334
"Sphenomorphus_indicus",2.0466996763737,-0.944737559034805,-0.793764628332387,-0.472184070211499,-0.845940927302109,-0.54282369798792,1.61288353050979
"Sphenomorphus_maculatus",0.410770063869555,0.326563952652097,-0.204332016553156,-0.533351099724843,-0.223350533590952,-0.695988854208167,-0.591553312919363
"Sphenomorphus_taiwanensis",-1.05532432840865,-0.0811673903931059,-0.561402878399246,0.163387119289368,1.18612982476537,-0.223680069617719,0.43855732944702
"Sphenomorphus_tonkinensis",0.44234840441195,-0.19541150639077,0.181798456080479,-1.00224351313158,0.14159055956005,-0.026932266662919,-0.977789026860106
