"taxa"	"result.synonym"
"AVES_PELECANIFORMES_ARDEIDAE_Oroanassa_magnifica"	"Nycticorax_magnificus"
"AVES_PASSERIFORMES_TURDIDAE_Otocichla_mupinensis"	"Turdus_mupinensis"
"AVES_PASSERIFORMES_PASSERIDAE_Passer_cinnamomeus"	NA
"AVES_CUCULIFORMES_CUCULIDAE_Phaenicophaeus_tristis"	NA
"AVES_PASSERIFORMES_PHYLLOSCOPIDAE_Phylloscopus_intensior"	"Phylloscopus_davisoni"
"AVES_PASSERIFORMES_PHYLLOSCOPIDAE_Phylloscopus_intermedius"	"Seicercus_affinis"
"AVES_PASSERIFORMES_PHYLLOSCOPIDAE_Phylloscopus_tristis"	NA
"AVES_PICIFORMES_PICIDAE_Picoides_funebris"	NA
"AVES_PICIFORMES_PICIDAE_Picus_guerini"	NA
"AVES_PASSERIFORMES_TIMALIIDAE_Pomatorhinus_phayrei"	NA
"AVES_PASSERIFORMES_CISTICOLIDAE_Prinia_sonitans"	NA
"AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_asiaticus"	NA
"AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_cyanotis"	NA
"AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_faber"	"Megalaima_faber"
"AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_faiostrictus"	"Megalaima_faiostricta"
"AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_franklinii"	NA
"AVES_PICIFORMES_MEGALAIMIDAE_Psilopogon_lineatus"	"Megalaima_lineata"
"AVES_PASSERIFORMES_SYLVIIDAE_Psittiparus_bakeri"	"Paradoxornis_bakeri"
"AVES_GRUIFORMES_RALLIDAE_Rallus_indicus"	NA
"AVES_COLUMBIFORMES_COLUMBIDAE_Ramphiculus_leclancheri"	"Ptilinopus_leclancheri"
"AVES_PASSERIFORMES_SYLVIIDAE_Rhopophilus_albosuperciliaris"	NA
"AVES_PASSERIFORMES_PYCNONOTIDAE_Rubigula_flaviventris"	"Pycnonotus_flaviventris"
"AVES_PASSERIFORMES_PELLORNEIDAE_Schoeniparus_brunneus"	"Alcippe_brunnea"
"AVES_PASSERIFORMES_PELLORNEIDAE_Schoeniparus_cinereus"	"Alcippe_cinerea"
"AVES_PASSERIFORMES_PELLORNEIDAE_Schoeniparus_dubius"	"Alcippe_dubia"
"AVES_PASSERIFORMES_LEIOTRICHIDAE_Sibia_morrisoniana"	"Actinodura_morrisoniana"
"AVES_PASSERIFORMES_LEIOTRICHIDAE_Sibia_waldeni"	"Actinodura_waldeni"
"AVES_PASSERIFORMES_SYLVIIDAE_Sinosuthora_brunnea"	NA
"AVES_PASSERIFORMES_SYLVIIDAE_Sinosuthora_przewalskii"	"Paradoxornis_przewalskii"
"AVES_PASSERIFORMES_SYLVIIDAE_Sinosuthora_ricketti"	NA
"AVES_PASSERIFORMES_SITTIDAE_Sitta_solangiae"	NA
"AVES_PASSERIFORMES_TIMALIIDAE_Spelaeornis_reptatus"	NA
"AVES_PASSERIFORMES_FRINGILLIDAE_Spinus_thibetanus"	"Serinus_thibetanus"
"AVES_PASSERIFORMES_STURNIDAE_Spodiopsar_cineraceus"	"Sturnus_cineraceus"
"AVES_PASSERIFORMES_STURNIDAE_Spodiopsar_sericeus"	"Sturnus_sericeus"
"AVES_PASSERIFORMES_TIMALIIDAE_Stachyris_roberti"	"Sphenocichla_roberti"
"AVES_CUCULIFORMES_CUCULIDAE_Surniculus_dicruroides"	NA
"AVES_PASSERIFORMES_SYLVIIDAE_Suthora_fulvifrons"	"Paradoxornis_fulvifrons"
"AVES_PASSERIFORMES_SYLVIIDAE_Suthora_verreauxi"	"Paradoxornis_verreauxi"
"AVES_GALLIFORMES_PHASIANIDAE_Synoicus_chinensis"	"Coturnix_chinensis_old"
"AVES_PTEROCLIFORMES_PTEROCLIDAE_Syrrhaptes_tibetanus"	NA
"AVES_PASSERIFORMES_MONARCHIDAE_Terpsiphone_affinis"	NA
"AVES_PASSERIFORMES_MONARCHIDAE_Terpsiphone_incei"	NA
"AVES_PASSERIFORMES_PELLORNEIDAE_Trichastoma_tickelli"	NA
"AVES_PASSERIFORMES_PELLORNEIDAE_Turdinus_crispifrons"	"Gypsophila_crispifrons"
"AVES_PASSERIFORMES_CORVIDAE_Urocissa_whiteheadi"	NA
"AVES_PASSERIFORMES_CORVIDAE_Urocissa_xanthomelana"	NA
"AVES_CHARADRIIFORMES_CHARADRIIDAE_Vanellus_duvaucelii"	NA
