AVES_PSITTACIFORMES_PSITTACIDAE_Himalayapsitta_finschii	AVES_PSITTACIFORMES_PSITTACIDAE_Psittacula_finschii
AVES_PSITTACIFORMES_PSITTACIDAE_Himalayapsitta_roseata	AVES_PSITTACIFORMES_PSITTACIDAE_Psittacula_roseata
AVES_CAPRIMULGIFORMES_APODIDAE_Hirundapus_cochinchinensis	AVES_CAPRIMULGIFORMES_APODIDAE_Hirundapus_cochinchinensis
AVES_PASSERIFORMES_PITTIDAE_Hydrornis_cyaneus	AVES_PASSERIFORMES_PITTIDAE_Pitta_cyanea
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Icthyophaga_humilis	AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Ichthyophaga_humilis
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Ictinaetus_malaiensis	AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Ictinaetus_malayensis
AVES_PASSERIFORMES_MUSCICAPIDAE_Kittacincla_malabarica	AVES_PASSERIFORMES_MUSCICAPIDAE_Kittacincla_malabarica
AVES_PASSERIFORMES_NECTARINIIDAE_Kurochkinegramma_hypogrammica	AVES_PASSERIFORMES_NECTARINIIDAE_Arachnothera_hypogrammica
AVES_PASSERIFORMES_NECTARINIIDAE_Kurochkinegramma_hypogrammica	AVES_PASSERIFORMES_NECTARINIIDAE_Arachnothera_hypogrammicum
AVES_PASSERIFORMES_NECTARINIIDAE_Kurochkinegramma_hypogrammica	AVES_PASSERIFORMES_NECTARINIIDAE_Hypogramma_hypogrammicum
AVES_PASSERIFORMES_CAMPEPHAGIDAE_Lalage_melaschistos	AVES_PASSERIFORMES_CAMPEPHAGIDAE_Coracina_melaschistos
AVES_PASSERIFORMES_LANIIDAE_Lanius_borealis	AVES_PASSERIFORMES_LANIIDAE_Lanius_borealis
AVES_PASSERIFORMES_LANIIDAE_Lanius_giganteus	AVES_PASSERIFORMES_LANIIDAE_Lanius_giganteus
AVES_PASSERIFORMES_LANIIDAE_Lanius_phoenicuroides	AVES_PASSERIFORMES_LANIIDAE_Lanius_phoenicuroides
AVES_PASSERIFORMES_MUSCICAPIDAE_Larvivora_cyane	AVES_PASSERIFORMES_MUSCICAPIDAE_Luscinia_cyane
AVES_GRUIFORMES_GRUIDAE_Leucogeranus_leucogeranus	AVES_GRUIFORMES_GRUIDAE_Grus_leucogeranus
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_alishanensis	AVES_PASSERIFORMES_LOCUSTELLIDAE_Bradypterus_alishanensis
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_davidi	AVES_PASSERIFORMES_LOCUSTELLIDAE_Bradypterus_davidi
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_luteoventris	AVES_PASSERIFORMES_LOCUSTELLIDAE_Bradypterus_luteoventris
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_major	AVES_PASSERIFORMES_LOCUSTELLIDAE_Bradypterus_major
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_tacsanowskia	AVES_PASSERIFORMES_LOCUSTELLIDAE_Bradypterus_tacsanowskius
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_thoracica	AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_thoracica
AVES_ANSERIFORMES_ANATIDAE_Melanitta_stejnegeri	AVES_ANSERIFORMES_ANATIDAE_Melanitta_fusca
AVES_PASSERIFORMES_MUSCICAPIDAE_Myophonus_insularis	AVES_PASSERIFORMES_MUSCICAPIDAE_Myophonus_insularis
AVES_PASSERIFORMES_SYLVIIDAE_Neosuthora_davidiana	AVES_PASSERIFORMES_SYLVIIDAE_Paradoxornis_davidianus
AVES_PASSERIFORMES_MUSCICAPIDAE_Niltava_oatesi	AVES_PASSERIFORMES_MUSCICAPIDAE_Niltava_oatesi
AVES_PELECANIFORMES_ARDEIDAE_Oroanassa_magnifica	AVES_PELECANIFORMES_ARDEIDAE_Gorsachius_magnificus
AVES_PELECANIFORMES_ARDEIDAE_Oroanassa_magnifica	AVES_PELECANIFORMES_ARDEIDAE_Nycticorax_magnificus
AVES_PASSERIFORMES_TURDIDAE_Otocichla_mupinensis	AVES_PASSERIFORMES_TURDIDAE_Turdus_mupinensis
