taxa	binomial	name	count	result.accepted_id	result.authority	result.synonym	result.syn_authority
AVES_PASSERIFORMES_PYCNONOTIDAE_Hemixos_castanonotus	Hemixos castanonotus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_PYCNONOTIDAE_Hemixos_flavala	Hemixos flavala	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Heterophasia_auricularis	Heterophasia auricularis	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Heterophasia_capistrata	Heterophasia capistrata	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Heterophasia_desgodinsi	Heterophasia desgodinsi	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Heterophasia_gracilis	Heterophasia gracilis	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Heterophasia_melanoleuca	Heterophasia melanoleuca	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Heterophasia_picaoides	Heterophasia picaoides	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Heterophasia_pulchella	Heterophasia pulchella	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_MUSCICAPIDAE_Heteroxenicus_stellatus	Heteroxenicus stellatus	Heteroxenicus stellatus	1	22708970	(Gould, 1868)	Brachypteryx_stellata	Gould, 1868
AVES_ACCIPITRIFORMES_ACCIPITRIDAE_Hieraaetus_pennatus	Hieraaetus pennatus	NA	NA	NA	NA	NA	NA
AVES_CUCULIFORMES_CUCULIDAE_Hierococcyx_hyperythrus	Hierococcyx hyperythrus	NA	NA	NA	NA	NA	NA
AVES_CUCULIFORMES_CUCULIDAE_Hierococcyx_nisicolor	Hierococcyx nisicolor	NA	NA	NA	NA	NA	NA
AVES_CUCULIFORMES_CUCULIDAE_Hierococcyx_sparverioides	Hierococcyx sparverioides	NA	NA	NA	NA	NA	NA
AVES_PSITTACIFORMES_PSITTACIDAE_Himalayapsitta_finschii	Himalayapsitta finschii	Himalayapsitta finschii	1	22685473	(Hume, 1874)	Psittacula_finschii	(Hume, 1874)
AVES_PSITTACIFORMES_PSITTACIDAE_Himalayapsitta_roseata	Himalayapsitta roseata	Himalayapsitta roseata	1	22685486	(Biswas, 1951)	Psittacula_roseata	Biswas, 1951
AVES_CHARADRIIFORMES_RECURVIROSTRIDAE_Himantopus_himantopus	Himantopus himantopus	Himantopus himantopus	2	22727969	(Linnaeus, 1758)	Himantopus_leucocephalus	Gould, 1837
AVES_CHARADRIIFORMES_RECURVIROSTRIDAE_Himantopus_himantopus	Himantopus himantopus	Himantopus himantopus	2	22727969	(Linnaeus, 1758)	Himantopus_mexicanus	(Müller, 1776)
AVES_CAPRIMULGIFORMES_APODIDAE_Hirundapus_caudacutus	Hirundapus caudacutus	NA	NA	NA	NA	NA	NA
AVES_CAPRIMULGIFORMES_APODIDAE_Hirundapus_cochinchinensis	Hirundapus cochinchinensis	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_HIRUNDINIDAE_Hirundo_javanica	Hirundo javanica	Hirundo javanica	1	104006526	Sparrman, 1789	Hirundo_domicola	Jerdon, 1844
AVES_PASSERIFORMES_HIRUNDINIDAE_Hirundo_rustica	Hirundo rustica	NA	NA	NA	NA	NA	NA
AVES_ANSERIFORMES_ANATIDAE_Histrionicus_histrionicus	Histrionicus histrionicus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_MUSCICAPIDAE_Hodgsonius_phaenicuroides	Hodgsonius phaenicuroides	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_SCOTOCERCIDAE_Horornis_acanthizoides	Horornis acanthizoides	Horornis acanthizoides	1	22735889	(Verreaux, 1871)	Cettia_acanthizoides	(Verreaux, 1871)
