Species,Aquatic,Herbivorous,Nocturnal,Scansorial,Fossorial,Large,Terrestrial,Archetype,Archetype_without_mass,Archetype_without_activity
Acanthodactylus opheodurus,0,0,0,0,0,0.196,0.804,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus pardalis,0,0,0,0,0,0.248,0.752,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus robustus,0,0,0,0,0,0.25,0.75,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus schmidti,0,0.531,0,0,0,0.241,0.228,Herbivorous,Herbivorous,Herbivorous
Acanthodactylus schreiberi,0,0,0,0,0,0.296,0.704,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus scutellatus,0,0,0,0,0,0.273,0.727,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus senegalensis,0,0,0,0,0,0.186,0.814,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus tilburyi,0,0,0,0,0,0.207,0.793,Terrestrial,Terrestrial,Terrestrial
Acanthodactylus tristrami,0,0,0,0,0,0.3,0.7,Terrestrial,Terrestrial,Terrestrial
Acanthosaura armata,0.005,0,0.022,0.669,0,0.305,0,Scansorial,Scansorial,Scansorial
Acanthosaura capra,0.005,0,0.022,0.669,0,0.305,0,Scansorial,Scansorial,Scansorial
Acanthosaura coronata,0.003,0,0.013,0.808,0,0.177,0,Scansorial,Scansorial,Scansorial
Acanthosaura crucigera,0.005,0,0.024,0.639,0,0.332,0,Scansorial,Scansorial,Scansorial
Acanthosaura lepidogaster,0.004,0,0.017,0.743,0,0.237,0,Scansorial,Scansorial,Scansorial
Acanthosaura nataliae,0,0.691,0,0,0,0.309,0,Herbivorous,Herbivorous,Herbivorous
Acanthosaura phuketensis,0.004,0,0.019,0.708,0,0.268,0,Scansorial,Scansorial,Scansorial
Acontias gariepensis,0,0,0.012,0,0.947,0.041,0,Fossorial,Fossorial,Fossorial
Acontias kgalagadi,0,0,0,0,0.915,0.086,0,Fossorial,Fossorial,Fossorial
Acontias meleagris,0,0,0,0,0.848,0.152,0,Fossorial,Fossorial,Fossorial
Acontias plumbeus,0,0,0,0,0.772,0.228,0,Fossorial,Fossorial,Fossorial
Acratosaura mentalis,0,0,0,0,0,0.18,0.82,Terrestrial,Terrestrial,Terrestrial
Adolfus africanus,0.001,0,0.005,0.93,0,0.064,0,Scansorial,Scansorial,Scansorial
Adolfus alleni,0,0,0,0,0,0.225,0.775,Terrestrial,Terrestrial,Terrestrial
Adolfus jacksoni,0.002,0,0.01,0.845,0,0.143,0,Scansorial,Scansorial,Scansorial
Adolfus masavaensis,0,0,0,0,0,0.167,0.833,Terrestrial,Terrestrial,Terrestrial
Aeluroscalabotes felinus,0,0,0.892,0,0,0.108,0,Nocturnal,Nocturnal,Scansorial
Afroedura africana,0.001,0,0.003,0.956,0,0.041,0,Scansorial,Scansorial,Scansorial
Afroedura halli,0,0,0.921,0,0.015,0,0.063,Nocturnal,Nocturnal,Scansorial
Afroedura karroica,0,0,0.919,0,0.016,0,0.065,Nocturnal,Nocturnal,Scansorial
Afroedura pondolia,0,0,0.001,0.981,0,0.017,0,Scansorial,Scansorial,Scansorial
Afrogecko porphyreus,0,0,0.851,0,0.029,0,0.12,Nocturnal,Nocturnal,Scansorial
Agama aculeata,0,0.512,0,0,0,0.309,0.179,Herbivorous,Herbivorous,Herbivorous
Agama agama,0,0.705,0,0,0,0.295,0,Herbivorous,Herbivorous,Herbivorous
Agama anchietae,0.005,0,0.022,0.669,0,0.305,0,Scansorial,Scansorial,Scansorial
Agama armata,0,0.53,0,0,0,0.245,0.225,Herbivorous,Herbivorous,Herbivorous
Agama atra,0,0.724,0,0,0,0.276,0,Herbivorous,Herbivorous,Herbivorous
Agama boueti,0,0.518,0,0,0,0.288,0.194,Herbivorous,Herbivorous,Herbivorous
Agama caudospinosa,0.005,0,0.025,0.618,0,0.351,0,Scansorial,Scansorial,Scansorial
Agama etoshae,0,0,0,0,0,0.302,0.698,Terrestrial,Terrestrial,Terrestrial
Agama hispida,0,0,0,0,0,0.422,0.578,Terrestrial,Terrestrial,Terrestrial
Agama impalearis,0.004,0,0.021,0.683,0,0.292,0,Scansorial,Scansorial,Scansorial
Agama kirkii,0.004,0,0.018,0.731,0,0.247,0,Scansorial,Scansorial,Scansorial
Agama knobeli,0.005,0,0.022,0.669,0,0.305,0,Scansorial,Scansorial,Scansorial
Agama lionotus,0,0.713,0,0,0,0.286,0,Herbivorous,Herbivorous,Herbivorous
Agama montana,0.003,0,0.013,0.794,0,0.19,0,Scansorial,Scansorial,Scansorial
Agama mossambica,0.004,0,0.018,0.718,0,0.26,0,Scansorial,Scansorial,Scansorial
Agama mwanzae,0,0.687,0,0,0,0.313,0,Herbivorous,Herbivorous,Herbivorous
Agama paragama,0.004,0,0.017,0.745,0,0.234,0,Scansorial,Scansorial,Scansorial
Agama persimilis,0,0,0,0,0,0.229,0.771,Terrestrial,Terrestrial,Terrestrial
Agama planiceps,0,0.709,0,0,0,0.291,0,Herbivorous,Herbivorous,Herbivorous
Agama rueppelli,0,0,0,0,0,0.331,0.669,Terrestrial,Terrestrial,Terrestrial
Agama spinosa,0,0.752,0,0,0,0.248,0,Herbivorous,Herbivorous,Herbivorous
Agama sylvana,0.003,0,0.016,0.759,0,0.222,0,Scansorial,Scansorial,Scansorial
Agamura persica,0,0,0.441,0,0,0.105,0.454,Terrestrial,Nocturnal,Terrestrial
Ailuronyx seychellensis,0,0.566,0.346,0,0,0.088,0,Herbivorous,Herbivorous,Herbivorous
Ailuronyx tachyscopaeus,0,0.617,0.376,0,0,0.007,0,Herbivorous,Herbivorous,Herbivorous
Ailuronyx trachygaster,0,0.502,0.307,0,0,0.191,0,Herbivorous,Herbivorous,Herbivorous
Alexandresaurus camacan,0,0,0,0,0,0.227,0.773,Terrestrial,Terrestrial,Terrestrial
Algyroides fitzingeri,0,0,0,0.946,0.003,0,0.051,Scansorial,Scansorial,Scansorial
Algyroides marchi,0,0,0,0,0,0.157,0.843,Terrestrial,Terrestrial,Terrestrial
Algyroides moreoticus,0,0,0,0.982,0.001,0,0.017,Scansorial,Scansorial,Scansorial
Algyroides nigropunctatus,0.001,0,0.005,0.919,0,0.075,0,Scansorial,Scansorial,Scansorial
Alopoglossus angulatus,0,0,0,0,0,0.204,0.796,Terrestrial,Terrestrial,Terrestrial
Alopoglossus atriventris,0,0,0,0,0,0.161,0.839,Terrestrial,Terrestrial,Terrestrial
Alopoglossus buckleyi,0,0,0,0,0,0.196,0.804,Terrestrial,Terrestrial,Terrestrial
Alopoglossus copii,0,0,0,0,0,0.265,0.735,Terrestrial,Terrestrial,Terrestrial
